,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error
570,one,1828,999,62,17,2,1859.0,1007.5,0.011789181692094313,0.03263157894736842,0
571,of,2,1083,39,23,2,21.5,1094.5,0.0159500693481276,0.020526315789473684,0
572,many,66,1089,87,22,2,109.5,1100.0,0.015256588072122053,0.045789473684210526,0
573,running-related,178,1081,328,31,2,342.0,1096.5,0.021497919556171984,0.1726315789473684,0
574,events.,530,1085,144,21,2,602.0,1095.5,0.014563106796116505,0.07578947368421053,0
575,They,706,1082,85,29,2,748.5,1096.5,0.02011095700416089,0.04473684210526316,0
576,also,816,1082,84,24,2,858.0,1094.0,0.016643550624133148,0.04421052631578947,0
577,ran,926,1089,64,17,2,958.0,1097.5,0.011789181692094313,0.03368421052631579,0
578,in,1016,1081,40,25,2,1036.0,1093.5,0.017337031900138695,0.021052631578947368,0
579,"armor,",1080,1089,122,21,2,1141.0,1099.5,0.014563106796116505,0.06421052631578947,0
580,in,1236,1081,40,25,2,1256.0,1093.5,0.017337031900138695,0.021052631578947368,0
581,heavy,1299,1082,108,29,2,1353.0,1096.5,0.02011095700416089,0.056842105263157895,0
582,"sand,",1433,1082,99,28,2,1482.5,1096.0,0.019417475728155338,0.05210526315789474,0
583,incorporating,1566,1081,282,31,2,1707.0,1096.5,0.021497919556171984,0.14842105263157895,0
584,jumps,2,1171,106,31,2,55.0,1186.5,0.021497919556171984,0.05578947368421053,0
585,along,134,1172,108,30,2,188.0,1187.0,0.020804438280166437,0.056842105263157895,0
586,the,267,1172,61,24,2,297.5,1184.0,0.016643550624133148,0.032105263157894734,0
587,way,352,1179,65,22,2,384.5,1190.0,0.015256588072122053,0.034210526315789476,0
588,"(hurdling),",450,1171,224,31,2,562.0,1186.5,0.021497919556171984,0.11789473684210526,0
589,running,706,1171,152,31,2,782.0,1186.5,0.021497919556171984,0.08,0
590,while,880,1171,108,25,2,934.0,1183.5,0.017337031900138695,0.056842105263157895,0
591,turning,1015,1171,151,31,2,1090.5,1186.5,0.021497919556171984,0.07947368421052632,0
592,a,1190,1179,19,17,2,1199.5,1187.5,0.011789181692094313,0.01,0
593,large,1235,1172,105,30,2,1287.5,1187.0,0.020804438280166437,0.05526315789473684,0
594,ring,1366,1171,86,31,2,1409.0,1186.5,0.021497919556171984,0.045263157894736845,0
595,(hula,1484,1172,99,27,2,1533.5,1185.5,0.01872399445214979,0.05210526315789474,0
596,hoop),1607,1172,99,30,2,1656.5,1187.0,0.020804438280166437,0.05210526315789474,0
597,along,1740,1172,108,30,2,1794.0,1187.0,0.020804438280166437,0.056842105263157895,0
598,the,3,1262,61,24,2,33.5,1274.0,0.016643550624133148,0.032105263157894734,0
599,ground,90,1262,130,30,2,155.0,1277.0,0.020804438280166437,0.06842105263157895,0
600,by,242,1262,43,29,2,263.5,1276.5,0.02011095700416089,0.022631578947368423,0
601,their,311,1261,104,25,2,363.0,1273.5,0.017337031900138695,0.05473684210526316,0
602,side,443,1261,83,25,2,484.5,1273.5,0.017337031900138695,0.04368421052631579,0
603,with,550,1261,88,25,2,594.0,1273.5,0.017337031900138695,0.04631578947368421,0
604,a,662,1269,19,17,2,671.5,1277.5,0.011789181692094313,0.01,0
605,"stick,",707,1261,121,29,2,767.5,1275.5,0.02011095700416089,0.06368421052631579,0
606,running,860,1261,152,31,2,936.0,1276.5,0.021497919556171984,0.08,0
607,while,1034,1261,108,25,2,1088.0,1273.5,0.017337031900138695,0.056842105263157895,0
608,carrying,1168,1261,174,31,2,1255.0,1276.5,0.021497919556171984,0.09157894736842105,0
609,a,1366,1269,19,17,2,1375.5,1277.5,0.011789181692094313,0.01,0
610,large,1411,1262,105,30,2,1463.5,1277.0,0.020804438280166437,0.05526315789473684,0
611,metal,1540,1262,107,24,2,1593.5,1274.0,0.016643550624133148,0.05631578947368421,0
612,"tripod,",1675,1261,143,31,2,1746.5,1276.5,0.021497919556171984,0.07526315789473684,0
613,running,2,1351,152,31,2,78.0,1366.5,0.021497919556171984,0.08,0
614,in,180,1351,40,25,2,200.0,1363.5,0.017337031900138695,0.021052631578947368,0
615,a,244,1359,19,17,2,253.5,1367.5,0.011789181692094313,0.01,0
616,decreasing,287,1351,219,31,2,396.5,1366.5,0.021497919556171984,0.11526315789473685,0
617,or,530,1359,39,17,2,549.5,1367.5,0.011789181692094313,0.020526315789473684,0
618,increasing,598,1351,216,31,2,706.0,1366.5,0.021497919556171984,0.11368421052631579,0
619,"circle,",838,1351,144,29,2,910.0,1365.5,0.02011095700416089,0.07578947368421053,0
620,and,1014,1352,64,24,2,1046.0,1364.0,0.016643550624133148,0.03368421052631579,0
621,running,1102,1351,152,31,2,1178.0,1366.5,0.021497919556171984,0.08,0
622,while,1276,1351,108,25,2,1330.0,1363.5,0.017337031900138695,0.056842105263157895,0
623,holding,1409,1351,153,31,2,1485.5,1366.5,0.021497919556171984,0.08052631578947368,0
624,a,1586,1359,19,17,2,1595.5,1367.5,0.011789181692094313,0.01,0
625,torch.,1631,1352,121,24,2,1691.5,1364.0,0.016643550624133148,0.06368421052631579,0
