,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error
688,of,574,272,39,23,3,593.5,283.5,0.0159500693481276,0.020526315789473684,0
689,"searching,",641,270,209,31,3,745.5,285.5,0.021497919556171984,0.11,0
690,Tombaugh,882,271,174,30,3,969.0,286.0,0.020804438280166437,0.09157894736842105,0
691,discovered,1079,270,219,25,3,1188.5,282.5,0.017337031900138695,0.11526315789473685,0
692,a,1322,278,19,17,3,1331.5,286.5,0.011789181692094313,0.01,0
693,possible,1364,270,174,31,3,1451.0,285.5,0.021497919556171984,0.09157894736842105,0
694,moving,1562,270,132,31,3,1628.0,285.5,0.021497919556171984,0.06947368421052631,0
695,object,1718,270,128,31,3,1782.0,285.5,0.021497919556171984,0.06736842105263158,0
696,on,2,368,42,17,3,23.0,376.5,0.011789181692094313,0.022105263157894735,0
697,photographic,66,360,262,31,3,197.0,375.5,0.021497919556171984,0.13789473684210526,0
698,plates,352,361,130,30,3,417.0,376.0,0.020804438280166437,0.06842105263157895,0
699,taken,509,361,107,24,3,562.5,373.0,0.016643550624133148,0.05631578947368421,0
700,on,640,368,42,17,3,661.0,376.5,0.011789181692094313,0.022105263157894735,0
701,23,706,364,39,21,3,725.5,374.5,0.014563106796116505,0.020526315789473684,0
702,and,772,361,64,24,3,804.0,373.0,0.016643550624133148,0.03368421052631579,0
703,29,860,364,39,21,3,879.5,374.5,0.014563106796116505,0.020526315789473684,0
704,January,926,364,151,26,3,1001.5,377.0,0.018030513176144243,0.07947368421052632,0
705,of,1102,362,39,23,3,1121.5,373.5,0.0159500693481276,0.020526315789473684,0
706,that,1169,361,83,24,3,1210.5,373.0,0.016643550624133148,0.04368421052631579,0
707,year.,1276,368,102,22,3,1327.0,379.0,0.015256588072122053,0.05368421052631579,0
708,A,1408,364,22,21,3,1419.0,374.5,0.014563106796116505,0.011578947368421053,0
709,lesser-quality,1455,360,304,31,3,1607.0,375.5,0.021497919556171984,0.16,0
710,photograph,0,451,220,30,3,110.0,466.0,0.020804438280166437,0.11578947368421053,0
711,taken,245,451,107,24,3,298.5,463.0,0.016643550624133148,0.05631578947368421,0
712,on,376,458,42,17,3,397.0,466.5,0.011789181692094313,0.022105263157894735,0
713,21,442,454,39,21,3,461.5,464.5,0.014563106796116505,0.020526315789473684,0
714,January,508,454,151,26,3,583.5,467.0,0.018030513176144243,0.07947368421052632,0
715,helped,683,451,131,30,3,748.5,466.0,0.020804438280166437,0.06894736842105263,0
716,confirm,838,450,152,25,3,914.0,462.5,0.017337031900138695,0.08,0
717,the,1015,451,61,24,3,1045.5,463.0,0.016643550624133148,0.032105263157894734,0
718,movement.,1100,454,190,21,3,1195.0,464.5,0.014563106796116505,0.1,0
719,After,66,542,107,23,3,119.5,553.5,0.0159500693481276,0.05631578947368421,0
720,the,201,541,61,24,3,231.5,553.0,0.016643550624133148,0.032105263157894734,0
721,observatory,288,541,239,29,3,407.5,555.5,0.02011095700416089,0.12578947368421053,0
722,obtained,552,540,174,25,3,639.0,552.5,0.017337031900138695,0.09157894736842105,0
723,further,751,541,148,24,3,825.0,553.0,0.016643550624133148,0.07789473684210527,0
724,confirmatory,926,540,261,30,3,1056.5,555.0,0.020804438280166437,0.13736842105263158,0
725,"photographs,",1210,541,256,30,3,1338.0,556.0,0.020804438280166437,0.13473684210526315,0
726,news,1497,547,85,18,3,1539.5,556.0,0.012482662968099861,0.04473684210526316,0
727,of,1608,542,39,23,3,1627.5,553.5,0.0159500693481276,0.020526315789473684,0
728,the,1675,541,61,24,3,1705.5,553.0,0.016643550624133148,0.032105263157894734,0
729,discovery,1,630,196,30,3,99.0,645.0,0.020804438280166437,0.1031578947368421,0
730,was,220,637,64,18,3,252.0,646.0,0.012482662968099861,0.03368421052631579,0
731,telegraphed,311,631,239,30,3,430.5,646.0,0.020804438280166437,0.12578947368421053,0
732,to,575,634,39,21,3,594.5,644.5,0.014563106796116505,0.020526315789473684,0
733,the,641,631,61,24,3,671.5,643.0,0.016643550624133148,0.032105263157894734,0
